type,posts
ESTJ,"I liked the video, personally! One of the better descriptions of our type I've ever seen. Like many of us I'm sure have said, we're much like ENTJs except that instead of percolating theory, we're much more concerned with making things happen tangibly, in the real world. Thus the much fewer number of ESJs, particularly ESTJs, on the forum.

1. I'd agree with @WickedQueen , I excelled in school and still do. Academic settings suit me for the most part, although I have to say now that I've been interacting directly with patients for so long, I don't think I could go back to a straight-up 'objective' job in health care. I did have many decent friends and still do, and while it's harder for me to make close friends now, I suspect that is more enneagram subtype than MBTI. I am perfectly capable of getting along with and working alongside most people in terms of MTBI leanings.
I struggle when it comes to 'empathizing with fools', as well as 'social patience', according to my husband. He counts it as a struggle that I am 'not entertained by people acting stupidly' and that 'when people would see someone skateboarding down the street carrying a second person other people would look at it and be like 'wow hahahaha that's so silly' and you'd be like 'those fucking idiots'.
....... I guess that's a problem? Who fucking knew.
2. Same, sometimes I have things in common, other times now. Most of the time I find the themes of my interests the same as ESTJs around my own age, and the younger or much older ones to be completely incomprehensible (or at least very visibly immature)
3. Be inconsistent or brush me off are the more minor ones. They're the ones that will make me think you are an idiot and nullify any opinion beyond 'neutral' I had of a person. Acting as though I am incompetent without assessing my abilities or treating me as incompetent in general will make me envision ways to make your life a living fucking hell from now until you're nothing to me.
4. I tend to look at the enneagram forums a lot, as I enjoy that theory of PT. I like the polls and health and fitness as well. Otherwise, I'm just here there and everywhere."
ESTJ,"
Excel with: I don't have much problem at school, always among Top 10 in class, always chosen as class administrator, joined lots of clubs, had decent friends. I was a responsible child, my parents trusted me more than my older brother. I took care of household when they were at work.
Struggle: Because I'm a responsible person and never complain, my friends, siblings, teachers, and parents dropped most of the heavy burden and responsibility on my shoulder. They didn't care about my feelings because they think I can handle everything. But actually I was very upset because I feel used, exploited, and abandoned. Maybe that is why I have a lot of anger. I was very fiery and everybody was afraid of me.


Sometimes yes, sometimes not.

I'm human, treat me like a human. Just because I don't cry, doesn't mean I'm not sad. Just because I act cruel, doesn't mean I cannot empathize. Just because I don't show it, doesn't mean I don't have feelings. I do feel, but I have priorities other than following my emotional drive.


I used to wandering around."
ESTJ,"This is bookmarked.
Really nice video, for most part, I seem to agree with him. I think it's kind of like I thought in the beginning, when I started to dive in to MBTI, but later drifted away from. It's very interesting, I really have to watch that again. Thanks for sharing it!"
ESTJ,"Personally I never have and never will use 'because I said so' as an argument 'winner', period. People that do so infuriate me and I frankly find them laughable at the same time. If you can't present proof, get the hell out.

In terms of moral arguments, separate from ethical arguments in my mind, I really don't care what anyone's position is as long as they're not asserting what they believe as the truth (and I do not do so either- I may believe others' ideas as 'wrong' but I'll never tell them my way is best, either) to others, particularly children, or using their beliefs to harm others or infringe on their rights.... who cares? Why waste the energy arguing with those people?

I have hyper-religious family all over my dad's side, including my father, and at the end of the day it's like... thank god you guys are gonna be dead soon so you can stop telling 13 year olds they're going to hell for getting raped. I know they love me, and I know they genuinely believe they are doing 'the right thing', and no amount of arguing is going to change that so I don't bother. I just keep myself as far away from that as possible and refuse to corroborate or take part in their statements about those matters.

That seems to really madden people, but I just can't be assed.

A particular example that comes to mind was a young person in a skype MBTI chat I was in for a while. They asserted quite strongly that pedophilia was unlike any other fetish and we only regarded it as morally wrong because we didn't 'trust children' to 'make their own choices'.

I work in nursing. I've seen 11 year olds be declared 'competent' to keep diagnosis information from their parents. Doesn't mean I think a 30 year old fucking a 12 year old is normal, it never has been, never will be, and there is zero biological basis for it whatsoever. Children can be declared competent, SOME OF THEM, but no child under 10 is capable of consenting to intercourse if for no other reason than their bodies can't fucking take it.

I presented this person with studies, evidence, my own long experience dealing with children who were victims of sexual abuse, teens who were 'willing' participants of underaged sex and now in twice-weekly therapy, etc etc. But nope. It's a 'normal fetish'.

Again, why bother? Somebody's bound to knock that person out sooner or later, and it makes no difference to me what some idiot 18 year old believes. No energy to waste arguing with a moron like that. Have your morals all you want but accept facts or you're a joke, regardless of where in the 'hierarchy' you are to me or how well I know you."
ESTJ,"
I'm usually very tolerant regarding moral differences. Perhaps I will lose some respect for the person in question, but I will rarely try to convince them to think the same way I do (though I likely wish that they did).


I may be somewhat forceful with relatives, simply because I'm more at ease with them and know their established moral stances well. It will probably result in a fervent argument from my side defending my points. On the other hand, if they happen to be someone I don't know well, I'll be less sure in myself and more inclined to listen to their point of view. With teachers or professors, though, I'll probably let it pass. As said, I'm generally tolerant of beliefs different from my own, so I won't feel too upset if they still end up disagreeing with me.


I don't have kids, but if I did I would probably refrain from using the ""because I said so"" argument entirely. Perhaps it's dominant Te or just an idiosyncrasy of mine, but I expect good reasons for thinking the way you do."
ESTJ,"

ESTJs are just as open, affectionate & loving as other human beings. Forget the stereotypes of robotic personality, the mean step parent that ruined juniors childhood & the prick supervisor that makes you work on Saturdays. Those are likely unhealthy examples of every type rather than those ESTj & ENTJ meanies LOL.

Seriously though, ESTJs are much harder on themselves than anybody else in their life & I highly doubt the accuracy of those poor abused souls that assume their nemesis is an ESTJ."
ESTJ,"When people ask for my time under the pretense of having me help them solve something, only for them to use it as an opportunity to endlessly complain.

Doesn't happen anymore, but happened a lot in my earlier years."
ESTJ,"

Don't worry, I wouldn't stereotype them like that. Even though I like to do it sometimes, jokingly ESTJs are cool:] In fact, I have been in love with an ESTJ for some time now and he and I are thinking of starting a serious relationship. And the INFJ I am, I have to prepare and think about all the possibilities. Even the robot-like one Thanks for answering!^.^"
ESTJ,Just ask him? He'll know his own preferences better than any strangers.
ESTJ,"Depends what you mean by 'no work'. I work hard and play hard. If I had no job and still had the same income I'd be writing books, traveling, making extra cash regardless.

I'd rather be formally occupied but I only say that now because I'm going into a field I endlessly enjoy doing AND will get paid handsomely for. If it weren't for the money I would never work a job I'd be bored with again, period, and I get bored of any job roughly 25 minutes after I master the tasks around it."
ESTJ,"Not a female, but I'll try to come with some input. Do you know what her love language is? In the case of flowers and that kind of gifts, I think that matters more than type. Also, I'm sure she understood what you meant with them (judging from her answers.)
For how long have you given her space? Have you talked at all during that time?
This is just a theory, but I'll go for it. She might be ""testing"" you, and see if you actually care enough.
If she is an ESTJ, I'd recomend you to ask her. It seems very un-ESTJish to end something this way. So even though it may be hard, try to ask her. You'll probably get a straight on answer."
ESTJ,"

Skimmed the Socialism thread. I am more agreed with SilverFalcon's position than TheSonderer.

My agreement is based on my observations and my political science education."
ESTJ,"So, most other forums has one like this, but I couldn't find one here.

(think we'll need one regarding all the stereotypes here...)
So guys (and girls), just go on and shoot any questions you'd like!
(other ESTJs are welcome to answer as well of course, but I guess you don't need an invitation for that..)"
ESTJ,"Carl Jung said that attempts to bring the lower functions into conscious thought will result in nothing but grief.

Socionics, on the other hand, says talk to a Ne dom/aux. In theory, they'll rub off on you."
ESTJ,"I am always infinitely more irritated by Ti-aux users than anyone else on the planet. Ti-doms on the other hand, I tend to greatly enjoy and have reasonably good friendships with several. ETP males under 30 make me seriously debate whether it'd be worth going to prison for murder if it meant getting them to finally shut up. Again, not an issue for the ones I know over 30, they're pretty bomb. ETP young women don't tend to bother me either.

Fe only 'bothers' me in that I find it comes off quite disingenuously in conversation. I have several close friends who are Fe doms and once you get past that veneer, it's all good. Fi dom/aux doesn't bother me but again, over 22 or bust. Under that they can be pretty intolerable."
ESTJ,"

So, as people with Ni PoLR, I was wondering if you have a strong distaste for sarcasm? Sarcasm being when someone says something but actually means something completely different.

I want to post some examples of people who have used sarcasm to get famous, and I want to know your impressions:


^Sarah uses it off and on.


^Aubrey uses it for nearly everything she says."
ESTJ,"I fucking love sarcastic humour, to a point. I think if you're trying to actually accomplish something through a point as a positive... let me rephrase. If you are trying to make a positive point in an argument or a positive point against a negative with humour, doing it with sarcasm is going to fall flat. Sarah Silverman is a great example. I fucking love her as an actress, she has got the straight-up take no shit style that I adore, but excess sarcasm to try and make a point is just irritating. There are better ways to do it.

Not that he's a great example, but my husband is an Se-Ni user, an ESFP. My best friend of 15 years, 5 years longer than I've known my husband, is an INTJ. I get along with ENFJs to a certain degree and do alright-ish with INFJs. ENTJs tend to get on my nerves but that's because the ones I know are young men. Any male under 20 and ENTX gets on my nerves.

I don't really get the POLR thing. I haven't studied socionics to any degree, but I get along with people who use Ni just fine as long as they're not off into completely ridiculous social theory to explain why they have no friends."
ESTJ,"Hm... I like to read in general, but usually I don't have enough time to do it frequently...
I also have a very weird taste in books, which makes it difficult for me to find something I like. ^^""
Generally I like stories with lots of morbid humor, dystopian scenarios and sometimes dark fantasy.
I also really enjoy books, which depict the feelings of insane characters or the deepness of a character in general.
One of my favourite authors is Walter Moers who wrote, for example, this treasure here:
Rumo and His Miraculous Adventures"
ESTJ,"I actually hate when people ask me this because I *don't* feel organized. ""How do you keep your house so clean?"" ""How do you write an essay so fast?"" ""Why are your notes legible?""

Because I develop a system and I stick to it. I do my dishes every morning when I get up before I make breakfast, I clean my kitchen and bathroom every Sunday. Ergo, my apartment isn't a general stye like most of my friends'. I can write essays fast because I've written over 1000 at this point; my system is really good and efficient.

It's second nature to us, and awareness of the first function's use tends to be sort of poor, so I'm curious to see what answers you get. If I'm 'organized' compared to most people I can't even imagine what it'd be like to live like them XD"
ESTJ,"I'm not extraverted by 'layman's terms' and I can't say I've met an ESTJ who is. I can very much appear extraverted when I'm at work- you have to communicate to succeed at your tasks and be effective, and the joking around and helping people is just good for morale and building relationships with people! I enjoy working with others over working alone most of the time... like I'd rather work on a solitary task in the presence of others than work on it totally isolated, but there are exceptions too.

I get burnt out spending too much time with people. I'm not much of one for initiating hanging out with others, but if I'm invited to something I'll usually go and have a great time.

My social life tends to be pretty segregated too, like I've got friends I hang out with in groups because it's fun and we can party, then I have the friends I hang out with one on one or maybe 3 of us (who are usually my closer friends), there's acquaintances... People I know through organizations I'm a member or volunteer with that I only see there, classmates (99% of them I don't hang out with outside of school) and workmates (same deal).

Among the people I wouldn't hang out with outside of where we met, I can apparently appear pretty reserved and uninterested in forming stronger relationships... it's not intentional, but it pretty much is how I feel so I guess that works out.

Regardless, don't let the E in Te put you off. The dominant function being externally focused has no bearing on your social orientation in function theory. They are related for plenty of people, but it's not a rule they be the same."
ESTJ,"Man, sorry I haven't answered yet...
If I'm having a bad day, I usually want one of two things. Either I want to talk about it, even though sometimes it takes some lingering to make me talk about what troubles me. If that's not the case, I want to do something I enjoy with people I enjoy. It's often hard to tell which though (I think).
I hope that helped at least a bit. If there's any more questions you have, don't hesitate to ask."
ESTJ,"I listen to music.

"
ESTJ,"You already know the answer to this.

If you pick the wrong answer, well, the only one who has to live with your own close mindedness is you."
ESTJ,"Gah, double post because of internet problems :dry:"
ESTJ,"We actually have one here. Not sticky though, maybe we should try to get it sticked? I've no idea how that's done though..."
ESTJ,"I didn't see that. I think we need to call the moderators to do so. @Pucca or @Pifanjr, can we have Pinina's thread stickied and this one deleted so all PerC cafe members can easily access it?"
ESTJ,Continuous Te and the force of Fi if I'm correct.
ESTJ,"I'll do this exclusivly on the impression I have from one ENTP and one INTP. (and throw in some other stuff as well)

I like ENTPs, and I'm not a big fan of INTPs. There's too much Ti for my taste."
ESTJ,I think I'm generally attracted to ENTPs. Something about them... Not too knowledgeable with INTPs.
ESTJ,"Okay, thanks.

Spend more time on the INTP forum, and you might know some more about us."
ESTJ,"ESTJs project energy when they speak. ITSJs seem to maintain energy when they speak (unless they're with really good friends, at which point it can be difficult to tell them apart)."
ESTJ,"Hello ESTJs! I am doing a survey on MBTI types and hobbies, and I want to see if there is a correlation, and I need some ESTJ input. Would greatly appreciate it, thanks! I will put up the results in the MBTI main forum after I get enough responses

https://qtrial2015az1.az1.qualtrics.com/SE/?SID=SV_0TXaGQHeI6XCsG9"
ESTJ,Done.
ESTJ,"Tsubaki said:
Also, @TopCatLSD, if he wants ^^
Man, I was a fuckin idiot when I was a kid. My parents used too worry about my health a lot.

When I was a baby still sleeping in the crib, my parents had given me my own room and put me right next to the window. Apparently I used to climb out of the crib and onto the window sill and stare outside, my parents found me dangling my feet out the window trying to escape (<thanks mom & dad) I did it so often that they eventually gave my room to my sis and made me sleep in their room so they could supervise me. When I was little I also had a habit of hiding in my house until my parents would cry cause they thought they lost me, then I'd burst out like ""SURPRISE BITCH!!""

When I started going to school, I was constantly one of the most obnoxious kids in the class room. I was constantly making noise and trying to make my classmates laugh. My teachers hated me. Looking back I was probably a huge disappointment to me ESFJ dad, he always wanted us to be the most successful out of everyone in our peer group, but I would fail every academic subject and couldn't for my life concentrate in the classroom. I was also really possessive of girls I had crushes on (I think I still am, actually) if I saw any guy talking to them, I'd jump in and be like ""Uh, no bitch! She's mine.""

My 12 year old life was probably the darkest point in my life. I was part of an underground fight club with me and my main group of friends. I was cool with the skater table, the black table, and the ****** table <well, the NOT as ghetto ****** table. (I'm hispanic, I can say that). We used to get like thirty people at a time to show up and watch our fights, it was so much fun. We used to plan fights like a day ahead of time and text out witch bathroom or hallway we where going to host it in. My job was to ""charm"" the campus supervisors into letting us go into the most empty parts of school, I'd say ""We need to go to Mr.Whatshisfaces room, we'll be quick"" or my favorite ""Oh campus supervisor #2 I almost didn't notice you got your hair done, it looks nice!"" Cause there was so many of us, we had to brake into squads and use different paths to get their, my squad always had the easiest getting in. We also had a Youtube channel where we would post the fights, but it got taken down by the cops...

After that was over I got to go home to my bipolar INFP mum whom I was living with; I'll spare the details. My parents where going through divorce, so all she could afford was a broken down piece of shit house with cockroaches and a falling roof. She would come home every night sobbing her eyes out, depressed. It was my responsibility to care for her emotionally. It felt like I was parenting her, and not the other way around. I legit feel sorry for any parents who have INFP kids, It's absolutely miserable.

^So if you're noticing a trend, I was an incredibly Se heavy kid who grew up in an Ne-Fe heavy world.

Did I just write my life story? Wtf?"
ESTJ,"This is not a question, but I have met a really hot ESTJ guy who is very nice. Probably won't go anywhere romantic, but I found it amusing, since I spend lots of time over here."
ESTJ,"So, most other forums has one like this, but I couldn't find one here.

(think we'll need one regarding all the stereotypes here...)
So guys (and girls), just go on and shoot any questions you'd like!
(other ESTJs are welcome to answer as well of course, but I guess you don't need an invitation for that..)"
ESTJ,"Probably that we can't see other people's point of view. Micromanaging. Traditional. Likes small talk. That we are the society, and agrees with it. That we doesn't question authority. But probably that the society is fit for us like a hand in a glove. It isn't."
ESTJ,"@Lucyyy I wrote an answer to your question a day ago, but it disappeared. Do you still want me to answer your original post, or are you happy with the answer you've gotten? If you want, it wouldn't be a problem.
Anyways, good luck! Feel free to rush in here with more questions whenever you want to!"
ESTJ,Yes please. I'd appreciate it if you shared your opinion :happy:
ESTJ,"Depends on the reason why I dislike them, and how serious it is, so it's hard to just give an overall answer. I probably wouldn't go ""I don't like you"", but rather tell what I didn't like about them. Also, I wouldn't hang out with them much.
Could you specify the question?"
ESTJ,sry but idk how else to phrase it . . .
ESTJ,"No problem. Are you thinking of a specific situation or just in general?

Anyhow, as I said, it depends on how much I dislike the person. Sorry that I can't develop more."
ESTJ,in general but its all cool.
ESTJ,"
1. I pay extra much attention to them.
2. 18
3. Swedish special forces.
Yes, it almost works with ENTJs and ESTJs I know, but one ESTJ teacher and a classmate.
How old are you? I'd guess for 23ish?

It's me and Coburn, and a couple of newer ones, but they generally don't stay that long from what I've seen."
ESTJ,"I have no idea what I'm studying. All I know is not theater or art or anything like that. I want to learn programming and get a math minor, but other than that, everything is wide open, because I honestly have no idea what I'm doing lol

I actually do. I was really homesick when I got here and wasn't sure how I'd like the huge emphasis on tests, but I love the lack of busy work. I've been able to study before the day before for once in my life- and have actually had to, because there's so much information. I'm not as much a fan of the lecture only classes, and much prefer the discussions, but the material is really interesting. I have a good Spanish teacher too, which is especially nice because my high school teachers really didn't teach me anything. Overall, I spend a lot less time in class and a lot less time doing actual work, so as long as I make sure not to become a recluse, it works for me. I spend a lot of time in the common room so I can both be productive and get actual human contact."
ESTJ,"Sorry it took me forever to get to this. Had some real life stuff going on that demanded my attention.

Tsubaki said:
I have another question for my ESTJ-buddies, regarding functions ^^
How do you use Si? How does it work and how does it affect your life?
Si, that I'm personally aware of, works in a few ways for me:

It's used to identify inconsistency and consistency in sums of data, information, and experiences.

It's used as a measuring stick for Te; I overlay Te intake with Si (experiential) intake and look for underlying patterns/breaks in patterns.

It's used as a way to tap into feeling and emotion.

I've read that Si-users are very conscious about their body. Do you think that this is true for you?
I've never read that claim before. Do you have a source?

I am very conscious of my body, but I've never associated it with Si...I associate it more with being a strong sp-dom (I'm jumping theories, I know). I guess I could see the function being body-oriented, since it's basically the sensory version of Ni.

But I think in that case it would be patterns in the physiology, not necessarily standalone things.

As a Si-inferior, I feel like I don't notice/pay attention to the needs of my body. Hunger just goes away again if I don't pay attention to it and when I feel a pain somewhere, I usually can't pin down, what exactly hurts. In most cases, I just take some painkiller and continue with what I was doing. Also, I tend to feel rather foreign in my body, like it's just a tool and the ""real me"" is something else.
I am acutely aware of my physical self; I don't pay attention to it in the day-to-day, but it grabs my attention immediately when something is not right. I know exactly where my pains come from; I know if they are normal or abnormal. I know if they merit additional attention or if they can be ignored.

It can be difficult for me to ignore things like hunger. Even if I try to ignore it, the sensation is powerful and tends to be very distracting.

That said, I am the first person to ignore pains if they're not serious and I have something on my plate that I care more about. I believe niss noted a statistic somewhere that said SJs are the types that often end up being killed off by physically-related issues later in life. We tend to ignore/put off physical problems for the sake of higher priority issues.

Basically, if the pain doesn't impede us from completing a goal, we'll ignore it until we have free time to deal with it.

If it does, we get it checked out/fixed asap.


As to being detached from my body and feeling like the real me is something else, no. Never experienced that.

I've thought about whether or not I could swap bodies with other people and decided I would have a problem with it. Ultimately, it wouldn't be entirely me. My body is a part of me."
ESTJ,Where are you? ESTJs seem to be hard to find.
ESTJ,"Not on here, that's for sure.

As to IRL...I have no idea. At work?"
ESTJ,"
I truly believe every problem has a solution; and whenever 2 people are involved in a problem, it usually requires a joint effort from both to augment change and implement the solution. I??m running out of ideas.


I doubt that you could significantly alter your communication style in time to save that relationship & it's a fool's errand attempting to change the ESTJ to conform to your style.

Apparently the relationship has deteriorated so much that he's declared you two will no longer engage in fights aka discussions, but that makes little sense because that's how couples work through their difficulties.
As an ESTJ, were I to tell a significant other that I'm done arguing to work through our difficulties, it'd be indicative that I'm tired of the drama & subtlely warning that I'm less invested in the relationship.
So that's a red flag that maybe he's giving up working things out with you. I'd suggest that his declaration of no more ""fighting"" is indicative that he's emotionally distancing himself from you, he's begun preparing himself for the end.





ESTJs are rational realists, it's likely that he's recognized the depth of your incompatibility & accepted that your relationship just wasn't meant to be.
IMHO you'd do well to suggest discussing an exit strategy with him & then seek an upgrade to a more compatible type."
ESTJ,"Hmm, interesting question!

Tywin Lannister for a start, I really love him. Other characters from Game of Thrones would be Littlefinger, Margaery and Dany.

Rey and Leia from Star Wars, Nick Fury and Thor from Avengers. That's the first ones I come up with, might add more later."
ESTJ,"

MBTI-type or just type of person? If MBTI-type, I really don't know. My best friend is an ENTJ, but probably TJs and FPs. If just types of people, it's generally girls, intelligent, common interests, independent, talkative, and most important, talks about important stuff, rather than shallow things.


A gift rather than something you earn, I'm there to help my friend, he is there to help me.


Closed minds, unwillingness to develop.


Most of the memories that I value is not a specific situation, but a situation that ranges from a day to a month. The two I recall at first is a camp I was at for 30 days, and when my class went to Ethiopia for ten days. If I have to pick a specific situation it'd be a few times pretty recently when I'm just spending time talking to my closest friend.


Don't know really... Movie, can't pick. GoT for tv-show though, and same for book. Musical artist, no idea.


To a few people, it plays a pretty important role. But that is a chosen few."
ESTJ,"You're going to have to be a lot more specific. Can you provide contextual details?

At this point your situation is too vague to offer any insight."
ESTJ,"I think there are several reasons for this. First of all, many of us are busy, has more important things to do than being here. Two other important reasons I can think of is disinterest or mistypes. As ESTJ might not always be the most desirable type (cause stereotypes), a subconscious bias could easily take place. I don't have any proof or examples of this, but it wouldn't surprise me.

Also, sorry for that extremely official language, I have no idea why that just happened... xD"
ESTJ,"Generally, I try to be objective, so if I am responsible for something bad happening, I will take responsibility for that. If other people are at fault, I will let them know, but being an Enneagram 9 (very uncommon for any Te-dom), try to do so politely since I honestly fear conflict.
On that note, sometimes I amaze myself at how well I can phrase things both honestly and politely.
If I were only better at public speaking."
ESTJ,"My favorite leisure activities would be wrestling, reading, learning about typology/asoiaf-theories/medieval weapons and military strategies, playing board games (strategy based) with friends, talking to friends, that kinda stuff.

To relax, I usually read, or do something physical.

Free time is usually spent doing something of the leisure activities I mentioned, holidays are usually spent with family dry. Still living home, so I can't do much about it. Would rather spend it with friends, but as they usually spend it with family as well.

(If there's something I missed here that you wanna know, just ask again.)

Tertiary Ne, that's a love-hate-relationship. About a year ago, I loved Ne with all my heart, as it can make me more light-hearted and such. But I stopped valuing that for several reasons, so now there are other reasons for why I like it.

Ne makes sure I can look at things from about every angle, and makes me quick with possibilities, what ways different things can go, but can show in making me unsure of which route is the best, making me imagining all the worst possibilities of something, that kind of things. Mostly it's good though, making sure I can see different ways something can develop."
ESTJ,"I like them.

According to socionics, they're our duals, or best fit for a relationship, as they share all our functions, just in a different order.
While I might not agree that they'd be the best type for a relationship with me, they're definitely nice and interesting people.

Also, welcome to the forum. Nice with another ESTJ!"
ESTJ,"Lol never really bothered to try, sorry

I don't tend to bring MBTI up IRL because there's too much explaining to do only to be told it's shit.

I know it is but i like it."
ESTJ,"I have quite some questions for you as I am trying to understand my dad a little better.

Is it common for ESTJ's to become very pessimistic, maybe even paranoid under stress? Can stress prevent you from taking firm decisions? Or do you have this under normal circumstances as well? Is it just being perfectionistic?

I ask this because my dad has a chronic illness and I think this is affecting his behaviour quite a lot. He talks about going forward, being efficient, practical, looking for solutions..., but he has a hard time deciding on the best way to solve practical problems in the house as he is always looking for the better method.

How could I help him see the other perspective and see the relativity of things without that he feels that I'm not taking him serious (as this would make him angry)."
ESTJ,"Sorry I haven't answered this before.

It is typical for ESTJs to become paranoid under stress, yes. Also, yes, people would probably view us as pessimistic, though for us that's just a way of making sure we know what's ahead of us, which would increase under stress. I haven't experienced being unable to make firm decisions though, and would rather expect that to go up during stress. I don't think those things are because of the fact that we're perfectionistic, though we for sure are.

Hmm, I never had a problem with this, so I'm not able to use any personal experience.
Best thing I can think of, is to talk to him, some time when it's not actually relevant, and talk to him about it. Being objective and factual as far as possible."
ESTJ,"About the relationship question thread, I guess I could create one, but there are so few ESTJs active and not that many questions coming in, so I don't know how active it'd be. I will create one if there's interest for it though. And it's true as you say, we aren't great at relationship-stuff.

About the situation, it's hard for a start, but I'll do my best.
1. It depends. If we believe in the traidition-based restrictions or not. But if we do, whether they are based on tradition or not, desire generally falls on the short end. Desire is only temporary, while what we believe in isn't (or at least we hope it isn't).
2. What would be re-valued? Her decision? Her Fi-based values?
3. I can see ""I don't want to want him anymore"" as something that could easily occur in ESTJs, and it seems more likely in this situation.

What do you mean with her trying to protect you?
Also, I don't think
three or four polite platitudes
would mean that much. You can be polite with anyone. I'd probably go more personal than that, if you want anything more personal than that. Go for the Fi, so to say.

Does that make sense?
Just ask for clarification if needed, or if you want me to develop any answer.

kane_1 said:
I was just scrolling up and read this - how does the paranoid manifest - self-questioning self-values?
This would manifest in seeing the worst possible outcome in everything. Could be anything really.
@Rivulet, feel free to answer whatever you want! It's not like we're lots of ESTJs here that does. Thanks!"
